run_id,initial_state,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,is_nash_equilibrium,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_3003105692,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1740.7087094783783,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",3003105692,classic_reinforce_1000exps_250batched_episodes,False,-4.573350429534912,343.678466796875,-17.043302536010742,264.2372131347656,-7.9149980545043945,264.09429931640625
sweep_seed_3047427698,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1762.952844619751,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",3047427698,classic_reinforce_1000exps_250batched_episodes,False,-14.389741897583008,344.111083984375,-5.799696445465088,264.61181640625,-7.805416107177734,264.576904296875
sweep_seed_3729194959,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1776.9694232940674,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",3729194959,classic_reinforce_1000exps_250batched_episodes,False,-5.6963043212890625,344.31201171875,-13.127528190612793,264.8149108886719,-6.512724876403809,264.6651611328125
sweep_seed_3763171948,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1774.6907699108124,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",3763171948,classic_reinforce_1000exps_250batched_episodes,False,-9.954883575439453,344.1887512207031,-8.228477478027344,264.6769104003906,-4.017561435699463,264.61212158203125
sweep_seed_38629052,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1781.971173286438,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",38629052,classic_reinforce_1000exps_250batched_episodes,False,-9.023513793945312,344.3641052246094,-4.001575946807861,264.7347717285156,-11.951742172241211,264.91107177734375
sweep_seed_4291573523,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1774.2179021835327,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",4291573523,classic_reinforce_1000exps_250batched_episodes,False,-4.733255386352539,344.875732421875,-5.236873626708984,265.20391845703125,-6.713600158691406,265.2491455078125
sweep_seed_512274997,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1770.8588559627533,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",512274997,classic_reinforce_1000exps_250batched_episodes,False,-8.793949127197266,344.3293762207031,-5.785290718078613,264.7200927734375,-8.251228332519531,264.8663024902344
sweep_seed_703119898,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1775.6563370227814,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",703119898,classic_reinforce_1000exps_250batched_episodes,False,-3.7980594635009766,344.38995361328125,-8.940637588500977,264.8152160644531,-8.824358940124512,264.776611328125
sweep_seed_1057684339,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1740.8677344322205,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",1057684339,classic_reinforce_1000exps_250batched_episodes,False,-3.383004665374756,343.8659362792969,-17.89768409729004,264.39678955078125,-8.13293170928955,264.2591857910156
sweep_seed_117612189,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1768.2127940654755,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",117612189,classic_reinforce_1000exps_250batched_episodes,False,-8.452522277832031,344.0641174316406,-8.820104598999023,264.5695495605469,-9.985036849975586,264.5224304199219
sweep_seed_1344691227,"(0.0, 1.0, 1.0)",617.7245483398438,710.6050415039062,92.8804931640625,1756.515325307846,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 1, 1)",1344691227,classic_reinforce_1000exps_250batched_episodes,False,-9.529781341552734,344.1013488769531,-6.309656143188477,264.54534912109375,-6.944002628326416,264.527587890625
